COUNTRY,Continent,Region,active_students,male,female,associate,bachelors,doctorate,flight_school,high_school,language_training,masters,other,other_vocational_school,primary,secondary,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
SAINT BARTHELEMY,North America,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINT KITTS AND NEVIS,North America,Caribbean,212,99,113,11,128,18,2,0,3,38,8,1,0,3,0,1,1,1,20,1,2,5,0,25,4,0,0,0,1,10,1,5,0,1,8,3,0,2,1,1,0,2,0,1,0,1,1,1,1,0,26,2,3,1,8,0,0,2,0,3,35,0,3,0,2,1,1,1,0
SAINT LUCIA,North America,Caribbean,262,103,158,34,139,30,2,0,0,52,0,0,0,5,0,10,2,2,6,5,1,3,2,24,7,0,0,6,1,6,0,3,1,4,12,9,1,5,4,7,0,4,0,8,0,2,1,8,0,0,51,2,2,1,9,0,2,3,0,0,33,2,6,0,0,1,2,2,0
SAINT MARTIN,North America,Caribbean,9,3,6,3,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAINT VINCENT AND THE GRENADINES,North America,Caribbean,129,51,78,29,56,8,1,0,1,29,1,1,1,2,0,1,6,3,4,0,2,2,0,20,4,0,0,0,0,2,2,1,0,1,6,2,2,1,2,1,0,0,0,3,0,0,0,3,0,0,31,2,4,0,7,0,0,3,0,0,8,0,1,0,0,1,0,1,0
SAMOA,Australia&Pacific Islands,Polynesia,17,7,10,3,9,2,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0
SAN MARINO,Europe,Southern Europe,7,3,4,1,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SAO TOME AND PRINCIPE,Africa,Central Africa,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SAUDI ARABIA,Asia,Western Asia,16925,11477,5434,432,7646,3199,325,0,1632,3308,331,33,1,18,2,173,87,1002,1372,499,206,430,94,1721,248,0,12,123,53,645,574,166,151,70,625,266,9,558,241,265,0,84,32,274,58,55,11,126,32,44,726,1150,150,360,1444,0,27,84,29,342,784,136,695,0,0,309,292,80,8
SENEGAL,Africa,Western Africa,643,375,268,128,253,40,1,0,61,84,13,0,2,61,0,4,4,8,31,9,7,11,4,50,18,0,1,8,2,13,6,34,12,6,21,18,7,12,14,12,0,4,0,21,0,4,2,17,6,1,87,31,3,5,21,0,4,9,0,7,54,4,26,0,2,12,4,5,2
